Barkod,Kore Trendleri,Kategori,Marka,UrunAdi,psf,indirimli fiyat,Stok
8800240569969,,Mask Bar,Medicube,Zero Pore Cooling Mask (Sıfır Gözenek Maskesi) 27gr,249.00,174.00,10
8800256119332,,Cilt Bakımı,Medicube,Zero Pore Moisture Sun Serum (Tüm Cilt Tipleri İçin Nemlendirici Etkili) 100ml,900.00,630.00,167
8800256109852,,Cilt Bakımı,Medicube,Exosome Cica Calming Pad (Dengeleyici ve Gözenek Önleyici Nano-Eksozom Cica ve Niacinamide İçeren Tonik Ped) 150ml,"1,598.00","1,119.00",20
8800256114979,,Cilt Bakımı,Medicube,PDRN Booster Gel (İnce Çizgi Önleyici ve Elastikiyet Koruyucu Jel) 300ml,"1,200.00",840.00,185
8800256115174,,Cilt Bakımı,Medicube,Glutathione Glow Serum (Leke ve Kaz Ayağı Karşıtı Glutatyonlu Parlaklık Serumu) 30ml,"1,140.00",798.00,75
8800256108046,Kore Trendleri,Mask Bar,Medicube,PDRN Pink Collagen Gel Mask (48 Saat Boyunca Elastikiyet Koruyucu ve Besleyici Kolajenli Jel Maske) 28gr,249.00,174.00,1019
8800240567347,,Cilt Bakımı,Medicube,Super Cica Deep Cleansing Balm (Gözenek ve Siyah Nokta Arındırıcı Cica Pudra & LHA İçeren Temizleme Balmı) 100ml,"1,481.00","1,037.00",33
8800240575298,,Cilt Bakımı,Medicube,Zero Foam Cleanser (Geniş Gözenek ve Mikro Toz Karşıtı Arındırıcı Temizleyici Köpük) 120gr,830.00,581.00,10
8809928135601,,Makyaj,Tırtır,"Mask Fit Red Cushion Mini 13N Fair Ivory 4,5G,","1,080.00",756.00,24
8809928135618,,Makyaj,Tırtır,"Mask Fit Red Cushion Mini 15C Fair Porcelain 4,5G,","1,080.00",756.00,24
8809679696480,,Makyaj,Tırtır,"Mask Fit Red Cushion Mini 17C Porcelain 4,5G,","1,080.00",756.00,24
8809928136073,,Makyaj,Tırtır,Waterism Glow Tint 02 Merry Coral,"1,008.00",706.00,0
8809679691098,,Makyaj,Tırtır,Waterism Glow Lip Oil (Honey),972.00,680.00,0
8809928132013,,Makyaj,Tırtır,Waterism Glow Lip Oil (Lavender),972.00,680.00,0
8809928132006,,Makyaj,Tırtır,Waterism Glow Lip Oil (Mint),972.00,680.00,0
8809928134352,,Makyaj,Tırtır,Hydro Boost Enzyme Powder Wash (Siyah Nokta ve Geniş Gözenek Önleyici Enzimli ve Asitli Yıkama Tozu) 75g,"1,500.00","1,050.00",0
8809928134857,,Makyaj,Tırtır,"Mask Fit Red Cushion 15C Fair Porcelain 18G,","1,980.00","1,386.00",24
8809928133867,,Makyaj,Tırtır,"Mask Fit Red Cushion 21W Natural Ivory 18G,","1,980.00","1,386.00",0
8809928134888,,Makyaj,Tırtır,"Mask Fit Red Cushion 21C Cool Ivory 18G,","1,980.00","1,386.00",0
8809679696468,,Makyaj,Tırtır,"Mask Fit Red Cushion 23N Sand 18G,","1,980.00","1,386.00",0
8809928136738,,Makyaj,Tırtır,"Mask Fit All Cover Cushion Fondöten 15C Fair Porcelain 18G,","1,980.00","1,386.00",0
8809928136769,,Makyaj,Tırtır,Mask Fit All Cover Cushion Fondöten 25N Mocha 18G,"1,980.00","1,386.00",0
8809416470009,Kore Trendleri,Cilt Bakımı,Cosrx,Advanced Snail 96 Mucin Power Essence (Besleyici Salyangoz Salgısı Özü) 100ml,"1,530.00","1,071.00",30
8809416470511,,Cilt Bakımı,Cosrx,Low Ph Good Morning Gel Cleanser (Çay Ağacı Özlü Nazik Temizleyici Jel) 150ml,716.00,501.00,30
8809598455375,,Cilt Bakımı,Cosrx,Salicylic Acid Daily Gentle Cleanser (Salisilik Asitli Geniş Gözenek Karşıtı Temizleyici Jel) 150ml,716.00,501.00,30
8809598454354,,Cilt Bakımı,Cosrx,Aloe Soothing Sun Cream SPF50 Pa+++ (Aloe Veralı Hibrit Güneş Koruyucu) 50ml,"1,088.00",762.00,30
8809416470030,,Cilt Bakımı,Cosrx,AHA/BHA Clarifying Treatment Toner (Siyah Nokta Temizleyici Etkili) 150ml ,"1,088.00",762.00,30
8809598455412,,Cilt Bakımı,Cosrx,Advanced Snail Peptide Eye Cream (Peptitli Salyangoz Sıvısı Özlü Göz Kremi) 25ml,"2,020.00","1,414.00",30
8809416470047,,Cilt Bakımı,Cosrx,"AHA 7 Whitehead Power Liquid (Beyaz Nokta, Pürüz ve Komedon Önleyici %7 Asitli Tonik) 100ml","1,308.00",916.00,30
8809416470054,,Cilt Bakımı,Cosrx,BHA Blackhead Power Liquid (Siyah Nokta Önleyici Tonik) 100ml,"1,528.00","1,070.00",30
8809598454309,,Cilt Bakımı,Cosrx,Full Fit Propolis Synergy Toner (Besleyici Propolis Tonik) 150ml,"1,346.00",942.00,30
8809598455566,,Cilt Bakımı,Cosrx,Advanced Snail 92 All In One Cream (Besleyici Salyangoz Müsin Kremi) 100gr,"1,530.00","1,071.00",30
8809598455801,,Cilt Bakımı,Cosrx,Advanced Snail Mucin Power Gel Cleanser (Salyangoz Özlü Temizleyici Jel) 150ml ,"1,371.00",960.00,30
8809598454323,,Cilt Bakımı,Cosrx,Full Fit Propolis Light Cream (Besleyici Propolisli Krem) 65ml,"2,534.00","1,774.00",30
8809598454316,,Cilt Bakımı,Cosrx,Full Fit Propolis Light Ampule (Güçlendirici ve Besleyici Propolis Ampul) 30ml,"2,118.00","1,482.00",30
